City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,ravar,31.2656,56.8055,9.6,45,72,1.34,IR,1676778992
192,zhigansk,66.7697,123.3711,-30.5,97,93,0.31,RU,1676778992
193,port hedland,-20.3167,118.5667,36.03,56,73,5.14,AU,1676778993
194,richards bay,-28.783,32.0377,22.15,93,74,2.16,ZA,1676778993
195,walvis bay,-22.9575,14.5053,17.53,77,55,2.57,NA,1676778993
196,turukhansk,65.8167,87.9833,-8.85,95,100,3.1,RU,1676778993
197,salym,60.0625,71.4789,-15.53,97,100,1.49,RU,1676778993
198,otradnoye,59.7775,30.8181,-4.95,92,100,5.06,RU,1676778993
199,prachuap khiri khan,12.2167,99.75,31.34,32,58,3.1,TH,1676778994
200,nanortalik,60.1432,-45.2371,-4.32,86,100,7.85,GL,1676778994
201,robertsport,6.7533,-11.3686,24.91,92,2,3.5,LR,1676778994
202,upernavik,72.7868,-56.1549,-22.13,86,76,4.37,GL,1676778843
203,zeya,53.75,127.2667,-11.34,77,99,0.77,RU,1676778994
204,auki,-8.7676,160.7034,27.58,82,100,2.11,SB,1676778994
205,bonavista,48.6499,-53.1147,-8.14,73,53,5.58,CA,1676778994
206,longyearbyen,78.2186,15.6401,-13.09,61,40,5.14,SJ,1676778995
207,campbell river,50.0163,-125.2446,5.74,87,40,1.54,CA,1676778995
208,mount isa,-20.7333,139.5,27.87,57,75,4.63,AU,1676778995
209,luderitz,-26.6481,15.1594,15.33,92,0,3.28,NA,1676778995
210,gahanna,40.0192,-82.8793,3.6,60,100,0.89,US,1676778996
211,valdosta,30.8327,-83.2785,8.32,81,40,3.33,US,1676778996
212,joshimath,30.5667,79.5667,17.36,27,37,0.31,IN,1676778996
213,narasannapeta,18.4167,84.05,25.28,66,66,1.76,IN,1676778996
214,taltal,-25.4,-70.4833,21.97,83,6,1.76,CL,1676778996
215,ginda,30.6945,78.4932,18.96,15,41,0.72,IN,1676778997
216,muros,42.7762,-9.0603,8.8,85,3,3.03,ES,1676778997
217,huambo,-12.7761,15.7392,14.36,83,100,0.8,AO,1676778997
218,mineiros,-17.5694,-52.5511,19.53,98,100,1.75,BR,1676778997
219,gayny,60.3071,54.3241,-22.76,100,99,1.32,RU,1676778997
220,srivardhan,18.0333,73.0167,29.51,26,0,1.4,IN,1676778997
221,asau,46.4333,26.4,7.51,83,43,5.34,RO,1676778998
222,flin flon,54.7682,-101.865,-29.59,100,45,1.81,CA,1676778998
223,kruisfontein,-34.0033,24.7314,17.16,83,11,1.38,ZA,1676778999
224,saint-philippe,-21.3585,55.7679,26.77,77,75,4.34,RE,1676778999
225,merauke,-8.4667,140.3333,30.83,67,48,3.94,ID,1676778761
226,raga,8.4596,25.678,18.32,21,21,2.31,SS,1676778999
227,svobodnyy,51.4,128.1333,-13.24,83,100,2.34,RU,1676778999
228,alice springs,-23.7,133.8833,33.75,40,40,10.8,AU,1676778999
229,husavik,66.0449,-17.3389,-2.38,83,100,4.6,IS,1676778999
230,parrita,9.5201,-84.3225,22.53,65,17,3.16,CR,1676779000
231,cabo san lucas,22.8909,-109.9124,20.28,67,51,2.79,MX,1676779000
232,shiyan,32.6475,110.7781,12.53,23,7,1.38,CN,1676778958
233,bafilo,9.35,1.2667,24.56,19,6,1.93,TG,1676779000
234,severo-yeniseyskiy,60.3725,93.0408,-10.67,92,88,1.54,RU,1676779000
235,ulladulla,-35.35,150.4667,24.51,59,6,3.96,AU,1676779000
236,najran,17.4924,44.1277,10.36,56,0,1.04,SA,1676779000
237,lebu,-37.6167,-73.65,14.02,93,41,7.33,CL,1676779000
238,souillac,-20.5167,57.5167,25.21,94,40,2.06,MU,1676779001
239,rucphen,51.5317,4.5583,10.62,85,100,6.17,NL,1676779001
240,praia,14.9215,-23.5087,20.3,77,40,5.66,CV,1676779001
241,maniitsoq,65.4167,-52.9,-4.79,95,100,1.32,GL,1676779001
242,namatanai,-3.6667,152.4333,28.12,74,100,2.9,PG,1676779001
243,villaviciosa,43.4813,-5.4357,10.79,92,0,1.43,ES,1676779001
244,aklavik,68.2191,-135.0107,-22.8,98,100,3.66,CA,1676779002
245,srednekolymsk,67.45,153.6833,-34.41,92,100,1.81,RU,1676779002
246,novoseleznevo,55.6821,69.2056,-21.9,100,73,2.64,RU,1676779002
247,port lincoln,-34.7333,135.8667,25.04,50,0,3.09,AU,1676779003
248,sinnai,39.3042,9.2036,6.93,84,0,3.09,IT,1676779003
249,high level,58.5169,-117.136,-19.94,77,0,1.54,CA,1676779003
250,college,64.8569,-147.8028,-14.39,85,0,0.0,US,1676779003
251,meadow lake,34.8014,-106.5436,6.9,43,8,2.73,US,1676779003
252,luanda,-8.8368,13.2343,26.0,83,20,2.06,AO,1676779004
253,farim,12.4839,-15.2217,20.29,64,94,1.91,GW,1676779004
254,katsuura,35.1333,140.3,18.12,77,88,17.69,JP,1676778914
255,mitsamiouli,-11.3847,43.2844,27.26,73,38,1.9,KM,1676779004
256,mareeba,-17.0,145.4333,27.47,81,79,2.55,AU,1676779004
257,hirara,24.8,125.2833,23.15,64,75,6.69,JP,1676778767
258,yulara,-25.2406,130.9889,36.51,20,0,12.49,AU,1676778793
259,zinder,13.8072,8.9881,14.9,17,0,5.74,NE,1676778892
260,fredericksburg,38.3032,-77.4605,3.68,73,0,0.45,US,1676779005
261,karratha,-20.7377,116.8463,34.62,42,25,4.91,AU,1676779005
262,petropavlovsk-kamchatskiy,53.0452,158.6483,-8.67,38,75,5.0,RU,1676778771
263,valparaiso,-33.0393,-71.6273,15.8,77,0,1.54,CL,1676779006
264,leshukonskoye,64.8989,45.7622,-17.51,98,82,2.57,RU,1676779006
265,yumen,40.2833,97.2,-1.21,28,85,5.4,CN,1676779006
266,rawson,-43.3002,-65.1023,20.55,38,100,9.48,AR,1676779007
267,maxixe,-23.8597,35.3472,25.58,89,16,2.91,MZ,1676779007
268,oum hadjer,13.2954,19.6966,17.13,18,2,4.06,TD,1676779007
